name,old_price,new_price,image
Etre exclusif Gilet - Homme - 8709 H20 - Vert,82.00 TND,54.00 TND,https://tn.jumia.is/cms/000_Ramadan22/00_Live/JE/TN-Ram22_Jexpress_Stickybanner.gif
Exist Gilet - 451289 - NMAR,99.99 TND,81.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/1905/1.jpg?3137
Exist Polo - P00217 - VERT/MENTE/CLAIR,49.99 TND,45.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/0205/1.jpg?8013
Etre exclusif Gilet - Homme - 8710 H22 -  Bleu,82.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/1205/1.jpg?8018
Exist Polo - P00216 - NOIR,54.99 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/1905/1.jpg?3137
Etre exclusif Gilet - Homme - 8710 H22 -  Bordeaux,82.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/1205/1.jpg?8018
Etre exclusif Gilet - Homme - 8709 H20 - Bleu jeans,82.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/1905/1.jpg?3136
Etre exclusif Pull - Homme - Noir - 9484 H21,78.00 TND,34.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/1905/1.jpg?5769
Exist Polo - P00217 - IJAUNE,49.99 TND,45.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/6074/1.jpg?7227
Etre exclusif Pull - Homme - 9383 H22 - NOIR - Gratté,88.00 TND,57.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/1205/1.jpg?8067
Exist Pull - P00460 - BLANC,39.99 TND,36.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/6225/1.jpg?8908
Exist Pull - P00460 - FNOIR,39.99 TND,36.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/1205/1.jpg?8067
Etre exclusif Gilet - Homme - 8705 H19 - NOIR à capuche,78.00 TND,34.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/1205/1.jpg?8068
Etre exclusif Polo - Homme - 9442 H19 - Marine 100%Coton,72.00 TND,34.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/3815/1.jpg?8129
Maze Pull Homme - Gris Et Rose,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/3774/1.jpg?4771
Etre exclusif Pull - Homme - 9388 H22 - Charbon - Zigzag,82.00 TND,57.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/3245/1.jpg?2026
